Frambuesa,Frutas,52,1.2,5.4,0.7,4.4,6.5,1.0,g,100,0
Frutilla,Frutas,32,0.7,5.7,0.3,4.9,2.0,1.0,g,100,0
Kiwi,Frutas,61,1.1,11.7,0.5,9.0,3.0,3.0,g,100,0
Mandarina,Frutas,53,0.8,11.5,0.3,10.6,1.8,2.0,g,100,0
Mango,Frutas,60,0.8,13.4,0.4,13.7,1.6,1.0,g,100,0
Manzana,Frutas,52,0.3,11.4,0.2,10.4,2.4,1.0,g,100,0
Manzana verde,Frutas,58,0.4,10.8,0.2,9.6,2.8,1.0,g,100,0
Melón,Frutas,34,0.8,7.3,0.2,7.9,0.9,16.0,g,100,0
Pera,Frutas,57,0.4,12.1,0.1,9.8,3.1,1.0,g,100,0
Piña,Frutas,50,0.5,11.7,0.1,9.9,1.4,1.0,g,100,0
Plátano,Frutas,89,1.1,20.3,0.3,12.2,2.6,1.0,g,100,0
Uvas,Frutas,57,0.8,10.0,0.5,0.0,3.9,1.0,g,100,0
Sandía,Frutas,30,0.6,7.1,0.2,6.2,0.4,1.0,g,100,0
Miel de abeja,Azúcares y Miel,318,0.3,78.8,0.0,78.8,0.0,5.0,g,100,0
Mermelada sin azúcar adicionada,Alimentos Dulces,56,0.7,17.0,0.2,8.8,17.0,19.0,g,100,0
Jugo de naranja,Jugos y Néctares,45,0.7,10.2,0.2,8.4,0.2,1.0,ml,100,0
Néctar damasco light,Jugos y Néctares,10,0.3,1.9,0.1,1.9,0.0,9.0,ml,100,0
